Acronym/Jargon,What does it stand for?,Explanation
Trigger,,The condition that causes an action plan to be activated. May be expressed in terms of threat occurrence
Trunk,,A circuit between two telephone exchanges form making connections between subscribers. 
Trunked Radio Systems,,Any radio system which allows one communication channel to be available to more than one user is a Trunked Radio System 
Trusted Partner,,A party who agrees to a legally binding agreement or contract to protect information
TSAPI,Telephony Services Applications Programming Interface. ,
TSAR,Telesales and Retention,Telesales and Retention - Part of the call centres that focus on acquiring and retaining our customers over the phone. 
TSC,Technical Service Centre,The techical support desk for Unified Communication solutions.
TSC,Trunking System Controller,
TSP,Telecommunication Service Platform,
TSP,Telecommunications Service Provider ,
TSR,Thus Social and Recreational Association ,
TSW,Traffic Switch ,
TSWC,Traffic Switch Card ,
TT,Trouble Ticket ,
TTL,Transistor Transistor Logic ,
TTM,Time To Market,
TTY,,Teletype. A typewriter style device for low speed alphanumberic communication using asynchronous protocol over telecom networks
Twisted Pair,,Relatively low-speed transmission medium consisting of two insulated wires arranged in a regular spiral pattern. The wires can be shielded or unshielded. Twisted pair is common in telephony applications and is increasingly common in data networks. 
Tx,,Transmit / Transmitter 
UASs,Unavailable Seconds,Count of seconds for which the monitored entity is unavailable. 
UAT,USER ACCEPTANCE TESTING,
UBR,Unspecified Bit Rate,A form of ATM transmission in which an information stream is supported on whatever bandwidth is available after other connection types have been satisfied. No congestion control is provided. UBR is commonly used to support information steams originating in LAN switches with ATM uplinks. 
UC,Unified Communications (unified Comms),"Integration of real-time communication services such as instant messaging (chat), presence information, telephony (including IP telephony), video conferencing, data sharing (including web connected electronic whiteboards aka SMARTBoards), call control and"
UCA,Unified Communications Agreement,"A complex contract that combines UC, Fixed and Mobile elements."
UCM,Universal Content management platform,
UCMS,Universal Content Management System,
UCS,Unified Communications Services ,
UDC,User Data Convergence,
UDF,User Distribution Frame ,
UDP,User Datagram Protocol,A transport-layer protocol that provides connectionless service without packet acknowledgement. 
UE,User Equipment,
UG,Unified Gateway,
UHF,Ultra High Frequency,As Designated by the ITU
UIM,Universal Inventory Management,
UKAS,United Kingdom Accreditation Service ,
UKERNA,UK Education & Research Networking Association ,
Upstream,,Set of frequencies used to send data from a subscriber to the headend. 
UPT,Universal Personal Telecommunications,A relatively advanced IN system. 
URI,Universal Resource Identifier,
URL,Uniform Resource Locator,Internet addresses on the World Wide Web that are translated by the DNS into IP addresses for routing purposes 
USENET,User Network,Initiated in 1979
User,,Individual or organisation that makes use of information technology. 
User Name,,This is the name that you choose as a way for the computer system to identify you. Also known as a user-id 
USP,Unique Selling Point or Proposition,"The unique attribute to a company that helps defferentiate it from others/competitors. E.g. Dyson's vacuume clean, not needing bags."
USSD,Unstructured Supplementary Service Data,
UTC,Coordinated Universal Time,
UTC,Coordinated Universal Time,
UTP,Unshielded Twisted Pair,A cable medium with one or more pairs of twisted insulated copper conductors bound in a single plastic sheath. 
V.32bis,,An ITU-T standard for full-duplex transmission that supports speeds up to 14
V.42bis,,A modem data compression standard that achieves a 4:1 ratio 
VAC,,Value Added Carrier. A common carrier of voice and data that adds special service features
Value,,Value is defined as benefits minus costs
Value Chain,,The Value Chain is a model of the customer's or client's company structure that shows the main business function the one that you would typically sell to and the related business functions that offer either 'input' or 'output' products or services to this main functional area. 
Value Criteria,,Value Criteria is a list of qualities
Value Hypothesis,,The Value Hypothesis is defined as a client-specific or tailored version of the Value Proposition
Value Killers,,Value Killers are Value Criteria which the client or customer considers to be of high importance but where your offering is perceived to be weak. 
Value Proposal,,The Value Proposal is defined as an expression of your final understanding of how much value can be offered to a particular client or customer. 
Value Proposition,,The Value Proposition is defined as an offer to create value in terms of capabilities the product and/or service
Value Sleepers,,Value Sleepers are Value Criteria which the client or customer currently considers to be of little importance
Value Sweet Spot,,The Value Sweet Spot is the overlap between your capabilities and the likely or actual needs of the client or customer. 
Value Winners,,Value Winners are Value Criteria which the client or customer considers to be of high importance and where your offering is perceived to be strong. 
VAN,Value Added Network. ,
VANS,Value Added Network Services ,
VAR,Value Added Reseller ,
Variation Order,,A formal instruction issued by the Contracts section to amend a Contract or Purchase order. 
VAS,Value Added Services ,
VAT,Value Added Tax ,
VATS,Vodafone acceptance testing service,
VB,Visual Basic,"A high level programming language variance of BASIC, with a Visual Object Orientated IDE."
VB.Net,Visual Basic with .Net framework and technology.,"a multi-paradigm, high level programming language, implemented on the .NET Framework."
VBA,Visual Basic for Applications,Visual Basic integrated into Microsoft Applications such as Excel for Scripting and Automation.
VBR,Variable Bit Rate,QoS class defined by the ATM Forum for ATM networks. VBR is subdivided into a real time RT class and non-real time NRT class. VBR RT is used for connections in which there is a fixed timing relationship between samples. VBR NRT is used for connections in which there is no fixed timing relationship between samples
VBS,Voice Broadcast Service,
VC,Virtual Circuit,A link that behaves like a dedicated point-to-point line or a system that delivers packets in sequence
VCC,Voice Call Continuity,
VCHS,VODAFONE CLOUD HOSTING SERVICE,
VCNO,VODAFONE COMPANY NETWORK OPERATIONS,
VCO,Vodafone Corporate Online,"Used by almost all of Vodafone’s major Corporate customers and provides them with a self-service capability to place orders, maintain accounts, etc."
VCO,Voltage Controlled Oscillator ,
VCS,VODAFONE CARRIER SERVICES,
VDN,Vector Directory Number,"This is used to reference a call flow within the telephone system.  A DDI is pointed at a VDN; which points to a Vector call flow, that route calls to Agents in the call centre queues."
